LocationName,Duration,DurationDays,Date,Mean,StdDev,Skew
Blue River,1-Day,1.0,2000-01-01,3.655664847655,0.21972903605483138,-0.16325220510942134
Blue River,1-Day,1.0,2000-01-02,3.6505931435917995,0.2194390862035937,-0.14410430980733877
Blue River,1-Day,1.0,2000-01-03,3.6455059342100644,0.21916643665850474,-0.1250596215630946
Blue River,1-Day,1.0,2000-01-04,3.6404035392754186,0.2189122521465666,-0.10613264345057576
Blue River,1-Day,1.0,2000-01-05,3.6352869597876216,0.21867782654978177,-0.08734174861715728
Blue River,1-Day,1.0,2000-01-06,3.6301579542265716,0.21846481976644358,-0.06871174810223629
Blue River,1-Day,1.0,2000-01-07,3.62501895808247,0.21827503598365924,-0.05027158694297208
Blue River,1-Day,1.0,2000-01-08,3.6198727345874007,0.2181102564653106,-0.03205159925655883
Blue River,1-Day,1.0,2000-01-09,3.614721985105637,0.21797255645289115,-0.014085345672285605
Blue River,1-Day,1.0,2000-01-10,3.6095692852559313,0.21786328758508286,0.0036006651767545787
Blue River,1-Day,1.0,2000-01-11,3.6044170616912408,0.21918465426538541,0.007
Blue River,1-Day,1.0,2000-01-12,3.599267432281317,0.2208457128259298,0.007
Blue River,1-Day,1.0,2000-01-13,3.594122052850174,0.22250540051777765,0.007
Blue River,1-Day,1.0,2000-01-14,3.588981978621913,0.22416337696988142,0.007
Blue River,1-Day,1.0,2000-01-15,3.5838473599864344,0.22581959367210377,0.007
Blue River,1-Day,1.0,2000-01-16,3.578716940233803,0.22711294628962037,0.010460909633407088
Blue River,1-Day,1.0,2000-01-17,3.5735870454422467,0.22751621962376975,0.022407186800555284
Blue River,1-Day,1.0,2000-01-18,3.568449290730043,0.22797720267455068,0.033768822079847834
Blue River,1-Day,1.0,2000-01-19,3.563285220459088,0.2285043059040756,0.04451769668346297
Blue River,1-Day,1.0,2000-01-20,3.5580565067579415,0.22908480223412883,0.05489028976529483
Blue River,1-Day,1.0,2000-01-21,3.552643179690613,0.22968697493436174,0.06555510388635571
Blue River,1-Day,1.0,2000-01-22,3.54717018970545,0.23027099650778185,0.07651394008347025
Blue River,1-Day,1.0,2000-01-23,3.541645426574777,0.2307970744833866,0.08812968794202918
Blue River,1-Day,1.0,2000-01-24,3.5360839549760077,0.23123740894500477,0.10063107996024247
Blue River,1-Day,1.0,2000-01-25,3.5305062969994068,0.23159015405147598,0.11398168769030512
Blue River,1-Day,1.0,2000-01-26,3.5249351280332895,0.23188582798926,0.1278233034555662
